,country,population,jobs,scientists,scient_per_job,pop_per_scient
66,Ghana,31072940,2,1300,650,23902
117,Morocco,36910560,3,1300,433,28393
132,Pakistan,220892340,13,3900,300,56639
89,Kenya,53771296,13,3300,254,16294
127,Nigeria,206139589,25,6300,252,32721
52,Egypt,102334404,9,1600,178,63959
124,New Zealand,4822233,24,3800,158,1269
142,Qatar,2881053,3,437,146,6593
42,Croatia,4105267,4,547,137,7505
51,Ecuador,17643054,3,402,134,43888
44,Cyprus,1207359,4,510,128,2367
130,Norway,5421241,30,3700,123,1465
159,Slovenia,2078938,4,460,115,4519
91,Kuwait,4270571,2,221,111,19324
87,Jordan,10203134,3,278,93,36702
180,Turkey,84339067,35,3000,86,28113
67,Greece,10423054,31,2600,84,4009
135,Panama,4314767,2,167,84,25837
152,Saudi Arabia,34813871,22,1800,82,19341
9,Australia,25499884,331,25000,76,1020
60,Finland,5540720,65,4900,75,1131
154,Republic of Serbia,8737371,8,603,75,14490
138,Peru,32971854,12,900,75,36635
129,Macedonia,2083374,2,137,69,15207
94,Latvia,1886198,4,256,64,7368
185,United Arab Emirates,9890402,38,2400,63,4121
33,Canada,37742154,595,37000,62,1020
58,Ethiopia,114963588,3,173,58,664529
47,Denmark,5792202,126,6500,52,891
169,Sweden,10099265,153,7000,46,1443
22,Bosnia and Herzegovina,3280819,2,91,46,36053
170,Switzerland,8654622,278,12000,43,721
45,Czechia,10708981,45,1800,40,5949
102,Madagascar,27691018,2,78,39,355013
104,Malaysia,32365999,83,3200,39,10114
107,Malta,441543,6,203,34,2175
101,Luxembourg,625978,22,720,33,869
82,Ireland,4937786,246,7800,32,633
79,Indonesia,273523615,147,4400,30,62164
56,Estonia,1326535,16,464,29,2859
84,Italy,60461826,384,11000,29,5497
186,United Kingdom,67886011,2379,68000,29,998
83,Israel,8655535,215,6100,28,1419
158,Slovakia,5459642,20,554,28,9855
100,Lithuania,2722289,23,618,27,4405
165,Spain,46754778,552,14000,25,3340
111,Mexico,128932753,150,3800,25,33930
144,Russia,145934462,207,5100,25,28615
187,United States of America,331002651,16934,407000,24,813
76,Hungary,9660351,63,1500,24,6440
78,India,1380004385,3151,75000,24,18400
24,Brazil,212559417,457,10000,22,21256
36,Chile,19116201,83,1800,22,10620
113,Moldova,4033963,2,40,20,100849
7,Argentina,45195774,120,2400,20,18832
188,Uruguay,3473730,11,214,19,16232
10,Austria,9006398,151,2900,19,3106
17,Belgium,11589623,346,6600,19,1756
37,China,1439323776,435,8200,19,175527
26,Bulgaria,6948445,30,561,19,12386
174,Thailand,69799978,110,1900,17,36737
38,Colombia,50882891,149,2500,17,20353
61,France,65273511,1885,28000,15,2331
123,Netherlands,17134872,1221,18000,15,952
192,Vietnam,97338579,89,1200,13,81115
184,Ukraine,43733762,165,2200,13,19879
41,Costa Rica,5094118,38,474,12,10747
162,South Africa,59308690,671,8100,12,7322
140,Poland,37846611,439,5100,12,7421
86,Japan,126476461,392,4500,11,28106
157,Singapore,5850342,755,8600,11,680
65,Germany,83783942,2682,28000,10,2992
139,Philippines,109581078,281,2400,9,45659
143,Romania,19237691,130,1100,8,17489
16,Belarus,9449323,70,562,8,16814
141,Portugal,10196709,426,2500,6,4079
